n,x,y
0,0.00000000,-0.00000000
1,0.10833078,0.66047019
2,0.21666156,0.94734080
3,0.32499234,1.14441313
4,0.43332312,1.30069184
5,0.54165391,1.43314022
6,0.64998469,1.54978605
7,0.75831547,1.65511781
8,0.86664625,1.75192341
9,0.97497703,1.84206547
10,1.08330781,1.92685728
11,1.19163859,2.00726408
12,1.29996937,2.08401931
13,1.40830016,2.15769572
14,1.51663094,2.22875105
15,1.62496172,2.29755847
16,1.73329250,2.36442758
17,1.84162328,2.42961936
18,1.94995406,2.49335692
19,2.05828484,2.55583365
20,2.16661562,2.61721925
21,2.27494640,2.67766448
22,2.38327719,2.73730485
23,2.49160797,2.79626363
24,2.59993875,2.85465421
25,2.70826953,2.91258213
26,2.81660031,2.97014679
27,2.92493109,3.02744290
28,3.03326187,3.08456181
29,3.14159265,3.14159265
